avg_nutrition_score,avg_toxicity_score,avg_processed_score,avg_hormonal_score,avg_overall_score,scan_frequency_weekly,scan_count,healthy_scan_ratio,high_toxicity_ratio,cosmetic_ratio,food_ratio,label
96,44,29,2,80,15,59,0.75,0.36,0.1711286976644882,0.63,healthy_trend
48,36,40,35,59,9,36,0.45,0.53,0.31,0.61,balanced_user
36,82,79,63,28,4,20,0.26,0.92,0.03,0.0,processed_food_heavy
55,83,58,83,32,11,40,0.19,0.84,0.33,0.56,hormonal_risk
61,60,71,90,35,12,57,0.45,0.53,0.93,0.28,hormonal_risk
64,79,54,0,57,8,40,0.37,0.59,0.24,0.6,toxin_risk
67,56,40,58,53,9,31,0.32,0.58,0.45,0.45,hormonal_risk
55,51,66,100,34,1,14,0.46,0.61,0.73,0.71,hormonal_risk
71,46,59,45,55,4,7,0.15,0.69,0.07,0.64,processed_food_heavy
52,100,34,48,42,6,22,0.48,0.83,0.23,0.86,toxin_risk
33,73,67,65,32,6,24,0.4,0.8,0.011824515079376182,0.84,processed_food_heavy
92,8,40,44,75,15,58,0.69,0.28,0.2,0.76,healthy_trend
61,24,0,21,79,6,22,0.58,0.35,0.17,0.64,healthy_trend
64,23,26,40,68,9,32,0.55,0.38,0.3,0.57,healthy_trend
97,31,25,24,79,13,48,0.44,0.35,0.24,0.88,balanced_user
70,65,82,20,50,4,8,0.22,0.64,0.12,0.83,processed_food_heavy
55,90,43,28,48,4,13,0.44,0.94,0.1,0.7,toxin_risk
39,37,99,58,36,6,15,0.42,0.24,0.2,0.82,processed_food_heavy
48,44,16,22,66,3,14,0.41,0.53,0.26,0.0,balanced_user
80,82,47,54,49,6,25,0.43,0.9,0.37,0.33,hormonal_risk
33,62,61,56,38,2,9,0.12,0.74,0.9,0.35,hormonal_risk
62,65,73,53,42,8,40,0.13,0.72,0.52,0.48,hormonal_risk
80,36,47,4,73,13,53,0.79,0.48,0.07,0.89,healthy_trend
61,20,19,22,75,8,32,0.77,0.34,0.0,0.85,healthy_trend
76,32,33,29,70,8,36,0.4,0.35,0.0,0.63,toxin_risk
55,24,38,37,64,9,33,0.61,0.26,0.15248182297624488,0.52,balanced_user
78,25,41,55,64,13,46,0.65,0.31,0.09574826592292081,0.0,balanced_user
48,57,65,44,45,2,1,0.26,0.63,0.7,0.51,hormonal_risk
47,64,57,34,48,8,34,0.41,0.37,0.0,0.0,toxin_risk
72,27,75,21,62,10,34,0.7,0.0,0.24,0.78,balanced_user
71,56,75,77,40,2,10,0.35,0.57,0.11,0.97,processed_food_heavy
53,49,65,19,55,3,13,0.53,0.52,0.26,0.72,toxin_risk
58,48,23,45,60,11,47,0.69,0.47,0.13,0.63,healthy_trend
55,47,84,61,40,4,13,0.34,0.53,0.15,0.77,processed_food_heavy
27,71,91,30,33,4,9,0.15,0.62,0.17,0.0,processed_food_heavy
45,88,64,61,33,7,35,0.38,0.89,0.1,0.87,processed_food_heavy
48,100,71,25,38,2,1,0.21,0.83,0.18,0.87,toxin_risk
45,94,82,63,26,6,34,0.02,0.93,0.002497491226700066,0.91,processed_food_heavy
52,95,58,26,43,2,2,0.45,0.83,0.31,0.71,toxin_risk
33,57,66,70,35,8,28,0.31,0.58,0.79,0.63,hormonal_risk
54,53,46,11,61,3,1,0.58,0.28,0.1435307092191862,0.68,balanced_user
59,76,45,11,56,10,37,0.28,0.7,0.0905039307231429,0.5,toxin_risk
100,59,91,43,51,4,26,0.08,0.46,0.12,1.0,processed_food_heavy
52,59,70,79,36,6,24,0.43,0.5,0.02,0.93,processed_food_heavy
76,66,60,100,37,3,13,0.44,0.72,0.95,0.65,hormonal_risk
70,40,24,7,74,7,31,0.73,0.42,0.3,0.75,balanced_user
57,51,47,42,54,11,47,0.51,0.68,0.0,0.92,toxin_risk
24,35,39,40,52,3,7,0.45,0.21,0.21,0.62,balanced_user
61,100,68,50,35,8,37,0.35,0.95,0.0,0.79,toxin_risk
73,22,43,7,75,1,6,0.49,0.07,0.05702184367230883,0.47,balanced_user
50,54,68,79,37,8,26,0.38,0.48,0.45,0.26,hormonal_risk
54,35,32,15,68,4,16,0.4,0.33,0.24,0.45,balanced_user
77,44,58,39,59,6,21,0.36,0.49,0.06,1.0,processed_food_heavy
20,65,88,42,31,3,11,0.2,0.47,0.18,0.96,processed_food_heavy
88,48,32,66,60,4,18,0.14,0.41,0.43,0.73,hormonal_risk
54,74,69,78,33,5,23,0.13,0.72,0.05,0.92,processed_food_heavy
45,37,61,30,54,10,39,0.26,0.24,0.037270303856441686,0.46,toxin_risk
79,58,55,64,50,6,28,0.11,0.64,0.30126898638830785,0.62,hormonal_risk
60,100,44,46,42,11,49,0.17,1.0,0.12,0.86,toxin_risk
20,42,70,62,36,5,17,0.44,0.35,0.14,0.85,processed_food_heavy
40,89,74,30,36,2,1,0.26,0.93,0.17,0.0,processed_food_heavy
79,37,65,0,69,6,24,0.71,0.26,0.11,0.41,balanced_user
72,11,40,32,72,1,6,0.5,0.12,0.03487571589550354,0.89,balanced_user
60,82,87,30,40,1,7,0.07,0.59,0.13,0.96,processed_food_heavy
88,33,54,20,70,8,26,0.63,0.44,0.08,0.73,healthy_trend
27,71,54,45,39,3,8,0.41,0.53,0.0,0.74,processed_food_heavy
69,69,66,6,57,12,42,0.94,0.85,0.33,0.56,healthy_trend
40,84,83,62,27,3,14,0.14,0.85,0.12,0.98,processed_food_heavy
43,84,30,57,43,2,9,0.18,0.93,0.27,0.78,toxin_risk
89,44,75,49,55,4,15,0.45,0.66,0.0374372696379244,0.75,balanced_user
84,63,43,1,69,8,33,0.37,0.42,0.19,0.64,balanced_user
92,44,27,25,74,7,32,0.58,0.26,0.13,0.0,healthy_trend
56,4,0,1,87,17,63,0.83,0.02,0.06341561193963793,0.57,healthy_trend
99,75,72,26,56,8,29,0.32,0.77,0.019610151831527867,0.66,processed_food_heavy
63,77,71,22,48,2,3,0.19,0.82,0.0,0.0,toxin_risk
57,22,35,42,64,3,17,0.77,0.06,0.15,0.65,balanced_user
67,26,19,35,71,16,66,0.75,0.18,0.09,0.59,healthy_trend
71,52,25,9,71,11,40,0.77,0.6,0.3,0.58,healthy_trend
53,1,34,39,69,12,54,0.89,0.0,0.3,0.53,healthy_trend
81,5,22,10,86,13,48,0.79,0.0,0.16,0.56,healthy_trend
44,88,40,49,41,2,5,0.18,0.89,0.18,0.73,toxin_risk
60,64,38,100,39,7,25,0.23,0.44,0.69,0.53,hormonal_risk
37,66,43,79,37,9,35,0.46,0.77,0.0,0.48,hormonal_risk
52,47,48,45,53,1,1,0.59,0.38,0.08,0.62,balanced_user
52,64,91,74,30,6,13,0.39,0.72,0.12,0.0,processed_food_heavy
100,27,30,0,85,13,51,0.88,0.34,0.06,0.67,healthy_trend
44,64,69,62,37,7,28,0.28,0.57,0.06,0.96,processed_food_heavy
58,81,90,49,34,1,9,0.2,0.8,0.07,0.76,processed_food_heavy
41,37,46,21,59,9,33,0.68,0.27,0.09,0.59,balanced_user
56,94,48,25,47,2,15,0.6,0.97,0.16,0.58,toxin_risk
92,21,50,29,73,9,33,0.59,0.0,0.24,0.7,healthy_trend
80,45,50,17,67,18,73,0.91,0.52,0.36,0.5,healthy_trend
47,76,52,55,41,2,12,0.49,0.62,0.34,0.85,toxin_risk
47,63,31,25,57,10,25,0.55,0.42,0.14775557687015217,0.77,balanced_user
71,53,63,92,40,11,35,0.39,0.65,0.35877461395298715,0.52,hormonal_risk
58,46,8,8,74,10,39,0.75,0.39,0.1,0.47,healthy_trend
92,52,26,5,77,10,40,0.6,0.5,0.24,0.7,healthy_trend
56,100,60,48,37,3,13,0.59,1.0,0.07,0.6,toxin_risk
64,85,53,29,49,6,21,0.58,0.81,0.08,0.9,toxin_risk
86,0,33,0,88,12,43,0.68,0.11,0.23,0.84,healthy_trend
69,47,30,100,48,11,40,0.42,0.22,0.62,0.45,hormonal_risk
44,33,32,26,63,10,46,0.57,0.11,0.06,0.43,balanced_user
78,49,54,68,51,11,37,0.1,0.59,0.32,0.35,hormonal_risk
78,46,80,100,38,9,30,0.16,0.4,0.78,0.44,hormonal_risk
26,82,76,43,31,7,28,0.2,0.82,0.0,0.62,processed_food_heavy
43,53,41,31,54,6,21,0.76,0.85,0.07,0.68,balanced_user
100,65,10,50,68,10,36,0.64,0.67,0.1,0.81,healthy_trend
51,63,62,59,41,7,33,0.34,0.58,0.0,0.94,toxin_risk
40,41,58,59,45,8,41,0.07,0.29,0.03,0.95,processed_food_heavy
30,89,100,18,30,2,6,0.13,0.94,0.02,0.97,processed_food_heavy
54,32,36,56,57,6,15,0.42,0.37,0.0,0.41,balanced_user
19,78,55,45,35,12,48,0.21,0.55,0.25,0.78,toxin_risk
86,48,56,71,52,10,36,0.72,0.4,0.13,0.57,balanced_user
66,83,74,38,42,7,28,0.33,0.78,0.34,0.77,toxin_risk
48,61,87,50,37,4,16,0.13,0.71,0.15,0.66,processed_food_heavy
70,69,21,21,64,18,69,0.61,0.5,0.18,0.56,healthy_trend
55,83,50,100,30,12,37,0.13,0.8,0.27168617195836164,0.66,hormonal_risk
76,46,39,86,51,3,7,0.37,0.66,0.1816854070487133,0.0,hormonal_risk
56,99,48,26,45,2,17,0.46,0.97,0.23,0.74,toxin_risk
62,67,53,13,57,13,45,0.47,0.69,0.02470483394098428,0.6,balanced_user
31,76,79,38,34,1,4,0.36,0.92,0.025949181224527038,0.74,processed_food_heavy
1,91,70,13,31,4,18,0.3,0.95,0.11,0.81,processed_food_heavy
41,88,46,88,29,1,4,0.17,0.85,0.31,0.29,hormonal_risk
44,83,83,100,19,9,42,0.33,0.72,0.39,0.73,hormonal_risk
73,19,43,29,70,10,39,0.61,0.12,0.31,0.74,balanced_user
11,80,90,45,24,6,28,0.39,0.96,0.1,0.92,processed_food_heavy
59,86,35,30,52,2,12,0.31,1.0,0.28,0.52,toxin_risk
78,39,35,27,69,10,43,0.37,0.47,0.0,0.83,balanced_user
38,27,55,46,52,7,20,0.54,0.34,0.06453606552992507,0.7,balanced_user
61,50,59,80,43,6,29,0.16,0.81,0.68,0.28,hormonal_risk
39,66,16,47,52,4,8,0.72,0.76,0.25,0.76,balanced_user
39,57,29,21,58,10,44,0.31,0.72,0.08,0.83,toxin_risk
30,58,45,47,45,8,31,0.21,0.4,0.05,0.82,processed_food_heavy
83,36,60,9,69,1,11,0.74,0.46,0.16,0.62,healthy_trend
30,56,36,62,44,4,16,0.29,0.4,0.33,0.55,hormonal_risk
76,62,39,77,49,2,2,0.11,0.38,0.0,0.0,hormonal_risk
64,83,88,74,29,2,1,0.1,0.74,0.19,0.85,processed_food_heavy
65,73,80,44,42,3,13,0.15,0.72,0.03,0.95,processed_food_heavy
61,20,22,58,65,7,22,0.79,0.27,0.05,0.62,balanced_user
62,50,58,10,61,10,50,0.75,0.58,0.19,0.78,balanced_user
38,79,31,41,46,4,16,0.31,0.92,0.16,0.64,toxin_risk
53,90,100,32,32,6,28,0.26,0.87,0.14,0.85,processed_food_heavy
99,22,0,9,92,14,57,0.95,0.2,0.36,0.86,healthy_trend
64,74,59,65,41,12,39,0.26,0.77,0.61,0.53,hormonal_risk
48,82,87,47,33,3,15,0.09,0.7,0.18,0.96,processed_food_heavy
58,81,46,40,47,8,39,0.42,0.74,0.22,0.71,balanced_user
64,64,50,84,41,4,12,0.3,0.74,0.79,0.55,hormonal_risk
66,56,63,73,43,11,39,0.41,0.57,0.94,0.33,hormonal_risk
59,62,54,35,52,1,9,0.42,0.48,0.07,0.72,toxin_risk
46,79,82,63,30,6,10,0.1,0.87,0.17,0.74,processed_food_heavy
71,9,34,5,80,4,8,0.59,0.17,0.17,0.69,balanced_user
91,40,33,22,74,11,43,0.69,0.47,0.11,0.51,balanced_user
77,78,63,84,38,3,7,0.51,0.79,0.5,0.71,hormonal_risk
54,59,43,21,57,15,61,0.94,0.83,0.17569439986210247,0.56,healthy_trend
37,65,39,48,46,2,4,0.21,0.47,0.26,0.61,toxin_risk
81,64,42,25,62,6,21,0.28,0.54,0.06,0.68,toxin_risk
53,58,17,30,62,5,21,0.37,0.62,0.16986114394567858,0.94,toxin_risk
63,47,68,59,47,8,27,0.42,0.51,0.17,0.72,processed_food_heavy
77,28,79,3,66,3,3,0.68,0.32,0.1,0.77,balanced_user
62,100,72,66,31,4,17,0.34,0.89,0.15,0.91,processed_food_heavy
68,62,52,94,40,7,28,0.27,0.69,0.16374662496107364,0.57,hormonal_risk
49,35,26,41,61,10,39,0.64,0.27,0.17,0.73,healthy_trend
70,68,69,97,34,9,40,0.54,0.77,0.0,0.75,hormonal_risk
64,100,69,59,34,11,43,0.5,0.91,0.14,0.49,toxin_risk
30,59,60,100,27,2,6,0.14,0.55,0.4143781270942456,0.28,hormonal_risk
76,16,35,7,79,17,68,0.78,0.41,0.06,0.53,healthy_trend
88,17,33,13,81,1,1,0.43,0.3,0.1,0.67,balanced_user
36,97,89,11,34,2,2,0.22,0.86,0.15,0.88,processed_food_heavy
84,57,47,76,51,2,4,0.49,0.53,0.46,0.33,hormonal_risk
52,69,44,27,53,3,20,0.45,0.83,0.14,0.64,balanced_user
37,57,70,22,47,9,39,0.71,0.51,0.28,0.46,balanced_user
57,62,34,7,63,11,41,0.69,0.48,0.3,0.59,healthy_trend
50,100,76,34,35,6,26,0.3,1.0,0.0,0.0,processed_food_heavy
35,74,67,66,32,11,44,0.38,0.84,0.55,0.43,hormonal_risk
49,36,80,49,46,4,16,0.43,0.21,0.09197679915326665,0.79,processed_food_heavy
57,100,83,38,34,3,20,0.29,1.0,0.2,0.83,processed_food_heavy
75,47,29,34,66,6,22,0.61,0.47,0.014771781936034201,0.66,healthy_trend
68,70,34,92,43,7,28,0.28,0.83,0.59,0.22,hormonal_risk
79,90,57,54,44,7,27,0.36,0.81,0.1,0.7,toxin_risk
82,37,63,97,46,2,5,0.16,0.26,0.37,0.35,hormonal_risk
62,33,33,72,56,9,43,0.1,0.43,0.23903802762768778,0.56,hormonal_risk
62,63,100,28,42,3,11,0.13,0.26,0.06,0.7,processed_food_heavy
0,61,46,39,38,6,28,0.53,0.86,0.21,0.91,toxin_risk
64,39,42,6,69,18,70,0.76,0.3,0.09,0.0,healthy_trend
45,24,0,11,77,7,22,0.93,0.05,0.0,0.63,healthy_trend
76,56,23,18,69,4,1,0.75,0.69,0.19,0.49,balanced_user
64,52,57,65,47,3,9,0.34,0.52,0.73,0.36,hormonal_risk
69,60,63,42,51,6,21,0.27,0.65,0.29,0.66,toxin_risk
90,9,29,25,81,8,36,0.83,0.03,0.29,0.68,healthy_trend
62,52,29,1,70,1,1,0.66,0.42,0.22,0.69,balanced_user
66,79,61,21,51,10,41,0.48,0.83,0.11,0.59,toxin_risk
59,52,100,96,27,4,17,0.34,0.54,0.18,0.72,processed_food_heavy
33,88,54,90,25,2,4,0.21,0.94,0.10814020766046581,0.4,hormonal_risk
48,57,65,87,34,3,8,0.14,0.55,0.88,0.4,hormonal_risk
58,15,67,35,60,8,34,0.47,0.32,0.059574059599557486,0.63,balanced_user
53,24,49,32,62,1,1,0.51,0.18,0.19,0.73,balanced_user
46,81,93,80,23,6,22,0.32,0.74,0.02,0.67,processed_food_heavy
17,55,77,44,35,2,12,0.28,0.54,0.0,0.0,processed_food_heavy
45,58,76,35,44,4,22,0.18,0.75,0.33,0.61,toxin_risk
55,60,88,100,26,3,6,0.11,0.64,0.0,0.29,hormonal_risk
88,34,39,18,74,7,24,0.84,0.4,0.06,0.0,healthy_trend
68,79,73,45,42,10,36,0.38,0.86,0.12,0.86,toxin_risk
49,47,15,1,71,4,18,0.72,0.55,0.31,0.71,balanced_user
29,44,68,58,39,2,5,0.22,0.4,0.09,0.87,processed_food_heavy
90,40,14,0,84,6,23,0.76,0.46,0.4,0.56,healthy_trend
100,26,24,14,84,14,63,0.62,0.17,0.27,0.72,healthy_trend
68,0,38,34,74,14,53,0.56,0.0,0.2,0.79,healthy_trend
39,100,90,38,27,7,30,0.41,0.99,0.12,0.0,processed_food_heavy
52,58,42,17,58,4,26,0.43,0.49,0.07245647008582333,0.58,balanced_user
38,97,48,61,33,10,36,0.21,0.88,0.13,0.47,toxin_risk
44,49,56,31,52,1,7,0.6,0.69,0.07,0.78,balanced_user
68,49,55,30,58,3,8,0.23,0.64,0.02100577796216488,0.7,processed_food_heavy
47,73,22,51,50,6,22,0.22,0.87,0.0,0.92,toxin_risk
56,48,25,14,67,10,43,0.72,0.44,0.07676627792058086,0.59,healthy_trend
69,97,69,47,39,9,37,0.34,1.0,0.25,0.92,toxin_risk
51,77,60,73,35,11,46,0.34,0.6,0.67,0.51,hormonal_risk
62,83,71,48,40,6,24,0.4,0.68,0.023118838538964362,0.79,processed_food_heavy
72,26,18,31,74,15,64,0.93,0.33,0.18,0.82,healthy_trend
74,27,55,39,63,14,62,0.65,0.28,0.21,0.88,healthy_trend
82,72,48,47,53,9,36,0.33,0.6,0.09,0.54,toxin_risk
28,65,63,22,44,2,8,0.2,0.57,0.07,0.72,toxin_risk
64,84,43,18,54,6,21,0.31,0.99,0.23,0.72,toxin_risk
66,43,26,75,55,3,9,0.33,0.48,0.85,0.31,hormonal_risk
78,76,85,61,39,3,7,0.14,0.8,0.74,0.6,hormonal_risk
54,87,94,28,36,8,35,0.19,0.75,0.2,0.61,toxin_risk
95,17,23,40,78,13,61,0.58,0.26,0.25,0.67,healthy_trend
85,64,44,0,69,8,33,0.8,0.53,0.39,0.51,healthy_trend
45,46,49,98,38,10,46,0.4,0.33,0.5,0.73,hormonal_risk
41,61,61,100,29,10,42,0.37,0.71,0.74,0.23,hormonal_risk
46,66,50,100,32,5,13,0.35,0.58,0.69,0.25,hormonal_risk
31,3,33,40,63,7,26,0.57,0.11,0.12,0.49,balanced_user
70,28,39,0,75,15,50,0.82,0.32,0.17,0.82,healthy_trend
42,65,46,54,44,10,43,0.23,0.77,0.0,0.74,toxin_risk
92,17,58,0,79,15,53,0.91,0.07,0.22,0.66,healthy_trend
54,99,37,18,50,8,28,0.26,0.93,0.3,0.9,toxin_risk
40,60,61,70,37,5,26,0.52,0.7,0.4,0.6,hormonal_risk
56,74,53,89,35,6,24,0.5,0.7,0.9,0.44,hormonal_risk
65,92,78,23,43,8,25,0.06,0.9,0.03,0.61,processed_food_heavy
44,62,91,52,34,5,22,0.13,0.7,0.1,0.73,processed_food_heavy
34,65,85,85,24,3,25,0.23,0.78,0.92,0.68,hormonal_risk
78,11,19,0,87,9,45,0.85,0.09,0.20933067056536298,0.54,healthy_trend
37,60,49,69,39,2,5,0.42,0.36,0.06,0.83,processed_food_heavy
68,73,67,62,41,1,11,0.25,0.79,0.12,0.94,processed_food_heavy
63,87,38,32,51,7,20,0.46,0.87,0.0,0.54,toxin_risk
69,29,48,30,65,8,26,0.42,0.19,0.09,0.56,balanced_user
56,70,100,55,32,5,16,0.15,0.96,0.04,0.84,processed_food_heavy
100,36,42,38,71,17,67,0.9,0.25,0.12,0.69,healthy_trend
58,41,57,11,62,15,67,0.9,0.45,0.35,0.72,healthy_trend
38,76,89,44,32,7,31,0.33,0.81,0.12,0.78,processed_food_heavy
67,75,38,56,49,2,7,0.16,0.59,0.29,0.84,toxin_risk
53,39,98,90,31,9,26,0.32,0.24,0.46,0.6,hormonal_risk
45,94,46,52,38,2,20,0.4,0.8,0.0,0.52,toxin_risk
70,85,50,66,42,5,18,0.13,1.0,0.17,0.8,processed_food_heavy
81,45,49,3,71,8,32,0.94,0.49,0.09958093778717345,0.74,healthy_trend
60,82,44,47,46,3,7,0.41,0.85,0.52,0.35,hormonal_risk
52,47,30,38,59,9,40,0.62,0.57,0.28,0.43,balanced_user
73,44,51,4,68,13,49,0.74,0.48,0.07624189863518957,0.68,balanced_user
22,75,57,94,24,7,29,0.12,0.84,0.91,0.62,hormonal_risk
51,60,64,100,31,4,16,0.41,0.95,0.72,0.38,hormonal_risk
63,15,42,4,75,6,28,0.66,0.22,0.13,0.65,healthy_trend
68,70,31,13,63,4,13,0.31,0.7,0.23,0.6,toxin_risk
6,54,96,16,35,6,25,0.04,0.54,0.07014923736601365,0.73,processed_food_heavy
53,100,48,46,39,9,40,0.4,1.0,0.26,0.0,toxin_risk
63,76,78,18,47,2,14,0.5,0.85,0.32,0.7,toxin_risk
62,34,75,37,54,9,33,0.37,0.19,0.08,0.73,balanced_user
84,28,46,72,59,8,35,0.14,0.07,0.2475379938350769,0.32,hormonal_risk
37,61,44,69,40,8,32,0.32,0.51,0.4398243487415143,0.54,hormonal_risk
48,38,82,68,40,7,33,0.41,0.6,0.2,0.69,processed_food_heavy
60,70,46,46,49,5,10,0.36,0.55,0.17,0.69,processed_food_heavy
72,36,55,3,69,14,62,0.61,0.3,0.07,0.6,healthy_trend
62,33,58,0,67,6,15,0.62,0.07,0.27,0.72,balanced_user
74,19,53,47,63,11,41,0.65,0.11,0.13,0.71,balanced_user
17,77,52,87,25,9,40,0.22,0.59,0.54,0.41,hormonal_risk
39,71,39,33,49,4,11,0.42,0.57,0.07,0.78,toxin_risk
33,66,53,36,44,2,7,0.37,0.75,0.18,0.79,processed_food_heavy
63,18,59,37,62,10,39,0.4,0.02,0.25,0.73,balanced_user
47,53,50,86,39,4,13,0.46,0.35,0.4618951867133304,0.58,hormonal_risk
43,64,80,67,33,2,5,0.43,0.38,0.12,0.79,processed_food_heavy
72,36,76,72,47,1,1,0.18,0.23,0.54,0.55,hormonal_risk
37,75,73,52,34,6,26,0.12,1.0,0.69,0.52,hormonal_risk
76,13,38,4,80,9,40,0.63,0.36,0.19,0.69,healthy_trend
58,13,27,0,79,12,50,0.61,0.12,0.18,0.48,healthy_trend
68,39,45,24,65,7,17,0.64,0.59,0.05,0.74,healthy_trend
45,34,56,19,59,13,55,0.6,0.37,0.3,0.72,balanced_user
36,80,33,87,34,10,37,0.19,1.0,0.0,0.31,hormonal_risk
45,56,66,49,43,7,29,0.33,0.65,0.08,0.98,processed_food_heavy
77,34,49,21,68,13,53,0.94,0.46,0.07,0.52,healthy_trend
89,25,7,7,87,18,71,0.62,0.29,0.0,0.76,healthy_trend
19,80,43,52,36,6,25,0.19,0.79,0.1,0.53,toxin_risk
87,33,36,55,65,11,40,0.3,0.31,0.64,0.62,hormonal_risk
37,51,55,89,35,9,37,0.48,0.47,0.81,0.21,hormonal_risk
32,82,38,38,43,11,45,0.5,0.98,0.29,0.75,toxin_risk
77,49,70,15,60,1,3,0.65,0.68,0.23,0.56,healthy_trend
100,0,12,13,93,9,27,0.61,0.0,0.33,0.66,healthy_trend
39,72,65,86,29,12,48,0.21,0.86,0.79,0.56,hormonal_risk
50,75,44,88,35,6,14,0.48,0.84,0.66,0.23,hormonal_risk
67,60,69,58,45,11,41,0.2,0.7,0.81,0.53,hormonal_risk
45,76,45,63,40,12,51,0.24,0.82,0.15,0.0,toxin_risk
49,40,42,100,41,12,47,0.39,0.24,0.48,0.38,hormonal_risk
61,27,52,19,65,6,20,0.47,0.36,0.02190036702139255,0.56,balanced_user
50,57,53,75,41,12,41,0.47,0.62,0.72,0.53,hormonal_risk
44,100,37,20,46,10,48,0.51,0.95,0.11,0.65,toxin_risk
79,27,50,19,70,1,1,0.41,0.2,0.15,0.52,balanced_user
79,69,42,42,56,10,43,0.51,0.75,0.0,0.78,toxin_risk
36,54,46,26,52,3,20,0.38,0.41,0.05726776197071187,0.79,balanced_user
81,39,27,14,75,2,10,0.81,0.13,0.1979331833564718,0.67,healthy_trend
57,46,52,34,56,12,49,0.67,0.61,0.29,0.5,balanced_user
31,61,52,22,49,5,25,0.52,0.73,0.23,0.63,toxin_risk
64,68,35,58,50,11,44,0.32,0.55,0.07311815739328094,0.91,toxin_risk
59,35,30,52,60,13,57,0.42,0.4,0.26,0.73,balanced_user
51,64,87,95,26,12,46,0.39,0.55,0.33,0.34,hormonal_risk
68,70,60,53,46,7,29,0.21,0.5,0.3,0.88,toxin_risk
43,100,49,19,43,6,19,0.25,0.91,0.11,0.67,toxin_risk
48,83,87,47,32,4,4,0.39,0.88,0.05,0.76,processed_food_heavy
76,41,29,57,62,4,26,0.67,0.35,0.08,0.74,balanced_user
84,19,36,1,82,13,51,0.64,0.15,0.34,0.74,balanced_user
96,41,20,21,78,7,35,0.76,0.42,0.22,0.53,healthy_trend
73,68,86,37,45,1,3,0.29,0.81,0.01,0.65,processed_food_heavy
75,43,46,21,66,3,4,0.41,0.41,0.0,0.83,balanced_user
